Marché_National_Produit,Catégorie_Produit,Type_Produit,Code_Référence,Date_Dernière_Mise_A_Jour_Du_Dossier,Nom_Marque_Produit,Nom_Sous-type_Marque_Produit,Filtre_Produit,Unités_Conditionnement_Produit,Poids_NET_Conditionnement_Produit,Type_Conditionnement_Produit,Type_Numéro_Produit,Numéro_Produit,Date_Notification,Date_Lancement_Produit,Longueur_Produit,Diamètre_Produit,Poids_Produit,Poids_Tabac_Produit,Longueur_Filtre_Produit,Teneur_Totale_Nicotine_Tabac_Rouler_Pipe,Teneur_Nicotine_Base_Tabac_Rouler_Pipe,Teneur_Nicotine_Sans_Combusion,Teneur_Nicotine_Base_Sans_Combusion,pH_Sans_Combusion,Humidité_Sans_Combustion
FR,Produit du tabac,Cigare,ASYLUM INSIDOUS  [13563283B5EF8032],28/4/2020 19:38:00,Asylum Insidous,NA,sans filtre,2500,NA,Boîte à couvercle basculant,EAN,7423834501223,30/11/2016 20:32:17,26/1/2015 00:00:00,101.6,17.46,1360000,13585.00,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,ASYLUM INSIDOUS  [ACA8DC24EF4E8A98],28/4/2020 19:38:00,Asylum Insidous,NA,sans filtre,2500,NA,Boîte avec couvercle coulissant,EAN,7423834500608,30/11/2016 01:23:39,26/1/2015 00:00:00,127,19.84,1360000,13585.00,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,ASYLUM INSIDOUS  [AEEF397A1EF73282],28/4/2020 19:38:00,Asylum Insidous,NA,sans filtre,2000,NA,Fagot,EAN,7423834501223,30/11/2016 20:32:17,28/2/2017 00:00:00,101.6,17.46,1360000,13585.00,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,ASYLUM13  [7B093AC44DC814FB],26/8/2020 21:53:00,Asylum13,NA,sans filtre,2000,NA,Boîte avec couvercle coulissant,EAN,3743400330097,29/11/2016 02:25:43,3/3/2015 00:00:00,127,19.84,1360000,13585.00,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,AVO HERITAGE ROBUSTO [83C17A2117F02507],21/2/2020 10:58:00,Avo,Avo Heritage Robusto,sans filtre,400,82,Boîte avec couvercle coulissant,-,103561,14/11/2016 19:07:07,20/5/2016 00:00:00,124,20,1310000,13088.00,0,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,AVO HERITAGE ROBUSTO [887C5B94E4A74151],21/2/2020 10:58:00,Avo,Avo Heritage Robusto,sans filtre,2000,489,Boîte à couvercle basculant,-,57059,14/11/2016 19:07:07,19/4/2018 00:00:00,124,20,1310000,13088.00,0,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,AVO HERITAGE ROBUSTO [95C109F9DE4E4FC7],21/2/2020 10:58:00,Avo,Avo Heritage Robusto,sans filtre,2000,497,Boîte à couvercle basculant,-,30170,14/11/2016 19:07:07,20/5/2016 00:00:00,124,20,1310000,13088.00,0,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,AVO IMPROVISATION LIMITED EDITION 2017 [4CFC4654130E7242],20/2/2020 16:20:00,Avo,Avo Improvisation Limited Edition 2017,sans filtre,1600,1477,Boîte à glissière,-,105170,18/10/2017 09:48:38,1/7/2017 00:00:00,152,24,2300000,22980.00,0,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,AVO LIMITED EDITION 2014 [F07E90BA185E846D],24/8/2020 11:30:00,Avo,Avo Limited Edition 2014,sans filtre,1600,1291,Boîte à couvercle basculant,-,50867,14/11/2016 19:49:45,20/5/2016 00:00:00,152,21,1606300,16049.00,0,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,AVO SYNCRO NICARAGUA ROBUSTO [653354C553BE94C1],20/2/2020 16:06:00,Avo,Avo Syncro Nicaragua Robusto,sans filtre,2000,520,Boîte à couvercle basculant,-,57084,14/11/2016 13:52:27,20/5/2016 00:00:00,127,20,1405000,14037.00,0,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,AVO XO PRELUDIO [5EAEA7E9F6151EF3],16/3/2020 18:02:00,Avo,Avo XO Preludio,sans filtre,2000,595,Boîte à couvercle basculant,-,41831,14/11/2016 19:09:24,20/5/2016 00:00:00,152,16,932000,9312.00,0,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,BALMORAL ANEJO GORDITO [B57588C564757F0A],13/2/2020 14:04:00,Balmoral Añejo,Gordito,sans filtre,2000,NA,Boîte à couvercle basculant,SKU,497279,6/9/2016 14:16:30,7/9/2016 00:00:00,102,23,1490000,14886.00,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,BALMORAL ANEJO PETIT ROBUSTO FT [39C0F76A5359E63C],13/2/2020 13:45:00,Balmoral Añejo,Petit Robusto FT,sans filtre,2000,NA,Boîte à couvercle basculant,SKU,497365,30/6/2016 11:02:32,24/3/2015 00:00:00,120,19.2,1050000,10486.00,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,BALMORAL ANEJO ROTHSCHILD MASIVO [A49FD3B16D81F539],26/6/2020 13:19:00,Balmoral Añejo,Rothschild Masivo,sans filtre,2000,NA,Boîte à couvercle basculant,SKU,497353,30/6/2016 11:09:17,17/3/2015 00:00:00,125,21.8,1460000,14586.00,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,BALMORAL ANEJO TORPEDO MK52 [5377A69AE5ECEF72],19/2/2020 13:46:00,Balmoral Añejo,Torpedo MK52,sans filtre,2000,NA,Boîte à couvercle basculant,SKU,497359,30/6/2016 11:08:03,31/3/2015 00:00:00,159,20.6,1620000,16186.00,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,BALMORAL ANEJO XO CONNECTICUT PETIT ROBUSTO FT [2E732E5C7147BBDD],23/3/2020 11:56:00,Balmoral Añejo XO Connecticut,Petit Robusto FT,sans filtre,2000,NA,Boîte à couvercle basculant,SKU,496143,6/2/2020 12:00:07,8/3/2019 00:00:00,118,19.2,1050000,10485.64,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,BALMORAL ANEJO XO CONNECTICUT ROTHSCHILD MASIVO [145B5E2B16EFA69E],26/6/2020 13:19:00,Balmoral Añejo XO Connecticut,Rothschild Masivo,sans filtre,100,NA,Boîte à couvercle basculant,SKU,496638,6/2/2020 12:00:07,3/7/2020 00:00:00,125,21.8,1460000,14585.64,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,BALMORAL ANEJO XO CONNECTICUT ROTHSCHILD MASIVO [B60EB865B5FEE432],26/6/2020 13:19:00,Balmoral Añejo XO Connecticut,Rothschild Masivo,sans filtre,2000,NA,Boîte à couvercle basculant,SKU,496144,6/2/2020 12:00:07,8/3/2019 00:00:00,125,21.8,1460000,14585.64,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,BALMORAL ANEJO XO GORDO [40AFB05CC679C479],12/2/2020 11:47:00,Balmoral Añejo XO,Gordo,sans filtre,2000,NA,Boîte à couvercle basculant,SKU,497163,17/4/2018 14:23:42,23/4/2018 00:00:00,152,23.8,2250000,22485.64,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,BALMORAL ANEJO XO GRAN PERFECTO FT [747243E03F062FE4],17/2/2020 15:07:00,Balmoral Añejo XO,Gran Perfecto FT,sans filtre,1000,NA,Boîte à couvercle basculant,SKU,496159,18/7/2018 11:06:44,20/7/2018 00:00:00,135,23,1900000,18985.64,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,BALMORAL ANEJO XO GRAN TORO [373ACD5CA562665C],3/3/2020 16:01:00,Balmoral Añejo XO,Gran Toro,sans filtre,2000,NA,Boîte à couvercle basculant,SKU,497278,6/9/2016 14:16:29,7/9/2016 00:00:00,152,20.6,1600000,15986.00,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,BALMORAL ANEJO XO OSCURO GORDITO [13C33C798887AA60],12/2/2020 11:47:00,Balmoral Añejo XO Oscuro,Gordito,sans filtre,2000,NA,Boîte à couvercle basculant,SKU,496194,17/4/2018 14:23:42,23/4/2018 00:00:00,102,23,1490000,14885.64,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,BALMORAL ANEJO XO OSCURO GRAN TORO [B230038B0A4D8BE6],25/2/2020 13:28:00,Balmoral Añejo XO Oscuro,Gran Toro,sans filtre,2000,NA,Boîte à couvercle basculant,SKU,496196,17/4/2018 14:23:42,23/4/2018 00:00:00,159,20.6,1600000,15985.64,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,BALMORAL ANEJO XO OSCURO LANCERO FT [F8BA3A2994883EA1],17/2/2020 15:07:00,Balmoral Añejo XO Oscuro,Lancero FT,sans filtre,1000,NA,Boîte à couvercle basculant,SKU,496110,16/5/2019 14:12:52,20/5/2019 00:00:00,182,15.9,1180000,11785.64,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,BALMORAL ANEJO XO OSCURO ROTHSCHILD MASIVO [3347E2FE3370E25A],26/6/2020 13:19:00,Balmoral Añejo XO Oscuro,Rothschild Masivo,sans filtre,2000,NA,Boîte à couvercle basculant,SKU,496195,17/4/2018 14:23:42,23/4/2018 00:00:00,125,21.8,1460000,14585.64,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,BALMORAL ANEJO XO OSCURO ROTHSCHILD MASIVO [7D5FF51B1F0128CC],26/6/2020 13:19:00,Balmoral Añejo XO Oscuro,Rothschild Masivo,sans filtre,100,NA,Boîte à couvercle basculant,SKU,496638,17/4/2018 14:23:42,3/7/2020 00:00:00,125,21.8,1460000,14585.64,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,BALMORAL ANEJO XO OSCURO TORPEDO MK52 [B25157C9D91995F1],2/3/2020 15:39:00,Balmoral Añejo XO Oscuro,Torpedo MK52,sans filtre,2000,NA,Boîte à couvercle basculant,SKU,497149,1/3/2019 10:45:31,8/3/2019 00:00:00,159,20.6,1620000,16185.64,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,BALMORAL ANEJO XO ROTHSCHILD MASIVO [2E386634DA9AA60F],26/6/2020 13:19:00,Balmoral Añejo XO,Rothschild Masivo,sans filtre,100,NA,Boîte à couvercle basculant,SKU,496638,30/6/2016 11:09:17,3/7/2020 00:00:00,125,21.8,1460000,14586.00,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,BALMORAL DOMINICAN SELECTION CHURCHILL TUBOS [777F9FAA1CFE4385],3/2/2020 15:30:00,Balmoral Dominican Selection,Churchill Tubos,sans filtre,300,NA,Boîte avec couvercle coulissant,SKU,497795,2/8/2016 13:26:57,5/2/2013 00:00:00,170,19.2,1350000,13485.64,NA,NA,NA,NA,NA,NA,NA
